Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -2720.170    -2720.170        0.000     0.0
2.0000        -2630.171    -2673.861       43.689  1207.1
4.0000        -2628.632    -2672.674       44.042  1216.9
6.0000        -2628.973    -2672.948       43.975  1215.0
8.0000        -2629.215    -2674.635       45.420  1255.0
10.0000       -2628.685    -2676.369       47.684  1317.5
12.0000       -2629.462    -2677.479       48.018  1326.7
14.0000       -2629.792    -2674.259       44.467  1228.6
16.0000       -2629.175    -2675.981       46.806  1293.2
18.0000       -2629.996    -2678.844       48.848  1349.6
20.0000       -2629.845    -2673.338       43.494  1201.7
22.0000       -2629.782    -2678.476       48.694  1345.4
24.0000       -2631.206    -2675.860       44.654  1233.8
26.0000       -2631.267    -2678.633       47.366  1308.7
28.0000       -2631.363    -2679.453       48.090  1328.7
30.0000       -2631.308    -2677.163       45.855  1267.0
32.0000       -2631.235    -2675.312       44.077  1217.8
34.0000       -2631.184    -2678.406       47.222  1304.7
36.0000       -2631.292    -2676.909       45.617  1260.4
38.0000       -2630.354    -2675.888       45.534  1258.1
40.0000       -2631.132    -2676.668       45.536  1258.1
42.0000       -2630.645    -2677.787       47.142  1302.5
44.0000       -2630.756    -2677.186       46.430  1282.8
46.0000       -2631.991    -2676.940       44.948  1241.9
48.0000       -2631.792    -2676.088       44.296  1223.9
50.0000       -2631.677    -2677.253       45.576  1259.3
52.0000       -2631.384    -2677.521       46.137  1274.8
54.0000       -2631.123    -2677.382       46.259  1278.1
56.0000       -2631.453    -2677.073       45.620  1260.5
58.0000       -2631.574    -2678.611       47.037  1299.6
60.0000       -2630.756    -2674.981       44.225  1221.9
62.0000       -2630.948    -2676.559       45.611  1260.2
64.0000       -2631.151    -2680.738       49.587  1370.1
66.0000       -2630.915    -2677.543       46.627  1288.3
68.0000       -2631.509    -2674.272       42.762  1181.5
70.0000       -2631.625    -2677.840       46.216  1276.9
72.0000       -2631.487    -2679.879       48.392  1337.1
74.0000       -2631.486    -2674.482       42.995  1188.0
76.0000       -2631.561    -2676.670       45.109  1246.3
78.0000       -2632.369    -2679.897       47.528  1313.2
80.0000       -2632.000    -2679.196       47.196  1304.0
82.0000       -2632.318    -2677.464       45.146  1247.4
84.0000       -2632.137    -2677.979       45.842  1266.6
86.0000       -2631.671    -2677.356       45.685  1262.3
88.0000       -2632.277    -2678.606       46.330  1280.1
90.0000       -2632.432    -2677.438       45.005  1243.5
92.0000       -2632.239    -2677.129       44.891  1240.3
94.0000       -2631.477    -2678.524       47.047  1299.9
96.0000       -2631.670    -2678.372       46.701  1290.3
98.0000       -2631.438    -2677.930       46.492  1284.6
100.0000      -2632.017    -2677.532       45.515  1257.6
102.0000      -2632.146    -2676.355       44.209  1221.5
104.0000      -2632.431    -2678.515       46.083  1273.3
106.0000      -2632.337    -2678.867       46.531  1285.6
108.0000      -2631.520    -2675.209       43.689  1207.1
110.0000      -2631.347    -2677.771       46.424  1282.7
112.0000      -2631.647    -2679.805       48.158  1330.6
114.0000      -2632.494    -2678.197       45.704  1262.8
116.0000      -2632.630    -2679.251       46.621  1288.1
118.0000      -2632.234    -2675.742       43.508  1202.1
120.0000      -2631.761    -2678.439       46.678  1289.7
122.0000      -2631.213    -2676.471       45.258  1250.5
124.0000      -2631.278    -2677.698       46.420  1282.6
126.0000      -2631.457    -2676.760       45.303  1251.7
